id_instr,description,instr_type_01,instr_type_02,instr_type_03,issuer,cpn,cpn_freq,maturity,isin,cusip,bloom_ticker,currency,id_curve
US912796BD08,B 0.000 10/3/2013,BOND,GOVT,BILL,USA,0,NA,10/3/13,US912796BD08,'912796BD',US912796BD08 Govt,USD,GOVT_USD_USA
US912796BF55,B 0.000 10/10/2013,BOND,GOVT,BILL,USA,0,NA,10/10/13,US912796BF55,'912796BF',US912796BF55 Govt,USD,GOVT_USD_USA
US912796BG39,B 0.000 10/24/2013,BOND,GOVT,BILL,USA,0,NA,10/24/13,US912796BG39,'912796BG',US912796BG39 Govt,USD,GOVT_USD_USA
US912796BE80,B 0.000 5/1/2014,BOND,GOVT,BILL,USA,0,NA,5/1/14,US912796BE80,'912796BE',US912796BE80 Govt,USD,GOVT_USD_USA
US912796BH12,B 0.000 10/31/2013,BOND,GOVT,BILL,USA,0,NA,10/31/13,US912796BH12,'912796BH',US912796BH12 Govt,USD,GOVT_USD_USA
US912796BK41,B 0.000 11/7/2013,BOND,GOVT,BILL,USA,0,NA,11/7/13,US912796BK41,'912796BK',US912796BK41 Govt,USD,GOVT_USD_USA
US912796BL24,B 0.000 11/21/2013,BOND,GOVT,BILL,USA,0,NA,11/21/13,US912796BL24,'912796BL',US912796BL24 Govt,USD,GOVT_USD_USA
US912796BM07,B 0.000 11/29/2013,BOND,GOVT,BILL,USA,0,NA,11/29/13,US912796BM07,'912796BM',US912796BM07 Govt,USD,GOVT_USD_USA
US912796BJ77,B 0.000 5/29/2014,BOND,GOVT,BILL,USA,0,NA,5/29/14,US912796BJ77,'912796BJ',US912796BJ77 Govt,USD,GOVT_USD_USA
US912796BN89,B 0.000 12/5/2013,BOND,GOVT,BILL,USA,0,NA,12/5/13,US912796BN89,'912796BN',US912796BN89 Govt,USD,GOVT_USD_USA
US912796BP38,B 0.000 6/26/2014,BOND,GOVT,BILL,USA,0,NA,6/26/14,US912796BP38,'912796BP',US912796BP38 Govt,USD,GOVT_USD_USA
US912796BQ11,B 0.000 12/19/2013,BOND,GOVT,BILL,USA,0,NA,12/19/13,US912796BQ11,'912796BQ',US912796BQ11 Govt,USD,GOVT_USD_USA
US912796BR93,B 0.000 12/26/2013,BOND,GOVT,BILL,USA,0,NA,12/26/13,US912796BR93,'912796BR',US912796BR93 Govt,USD,GOVT_USD_USA
US912796BS76,B 0.000 1/2/2014,BOND,GOVT,BILL,USA,0,NA,1/2/14,US912796BS76,'912796BS',US912796BS76 Govt,USD,GOVT_USD_USA
US912796BT59,B 0.000 7/24/2014,BOND,GOVT,BILL,USA,0,NA,7/24/14,US912796BT59,'912796BT',US912796BT59 Govt,USD,GOVT_USD_USA
US912796BU23,B 0.000 1/16/2014,BOND,GOVT,BILL,USA,0,NA,1/16/14,US912796BU23,'912796BU',US912796BU23 Govt,USD,GOVT_USD_USA
US912796BV06,B 0.000 1/23/2014,BOND,GOVT,BILL,USA,0,NA,1/23/14,US912796BV06,'912796BV',US912796BV06 Govt,USD,GOVT_USD_USA
US912796BW88,B 0.000 1/30/2014,BOND,GOVT,BILL,USA,0,NA,1/30/14,US912796BW88,'912796BW',US912796BW88 Govt,USD,GOVT_USD_USA
US912796BX61,B 0.000 8/21/2014,BOND,GOVT,BILL,USA,0,NA,8/21/14,US912796BX61,'912796BX',US912796BX61 Govt,USD,GOVT_USD_USA
US912796BY45,B 0.000 2/13/2014,BOND,GOVT,BILL,USA,0,NA,2/13/14,US912796BY45,'912796BY',US912796BY45 Govt,USD,GOVT_USD_USA
US912796BZ10,B 0.000 2/20/2014,BOND,GOVT,BILL,USA,0,NA,2/20/14,US912796BZ10,'912796BZ',US912796BZ10 Govt,USD,GOVT_USD_USA
US912796CA59,B 0.000 2/27/2014,BOND,GOVT,BILL,USA,0,NA,2/27/14,US912796CA59,'912796CA',US912796CA59 Govt,USD,GOVT_USD_USA
US912796CB33,B 0.000 9/18/2014,BOND,GOVT,BILL,USA,0,NA,9/18/14,US912796CB33,'912796CB',US912796CB33 Govt,USD,GOVT_USD_USA
US912796CC16,B 0.000 3/13/2014,BOND,GOVT,BILL,USA,0,NA,3/13/14,US912796CC16,'912796CC',US912796CC16 Govt,USD,GOVT_USD_USA
US912796CD98,B 0.000 3/20/2014,BOND,GOVT,BILL,USA,0,NA,3/20/14,US912796CD98,'912796CD',US912796CD98 Govt,USD,GOVT_USD_USA
US912796CE71,B 0.000 3/27/2014,BOND,GOVT,BILL,USA,0,NA,3/27/14,US912796CE71,'912796CE',US912796CE71 Govt,USD,GOVT_USD_USA
US912796CF47,B 0.000 10/16/2014,BOND,GOVT,BILL,USA,0,NA,10/16/14,US912796CF47,'912796CF',US912796CF47 Govt,USD,GOVT_USD_USA
US912796CG20,B 0.000 4/10/2014,BOND,GOVT,BILL,USA,0,NA,4/10/14,US912796CG20,'912796CG',US912796CG20 Govt,USD,GOVT_USD_USA
US912796CH03,B 0.000 4/17/2014,BOND,GOVT,BILL,USA,0,NA,4/17/14,US912796CH03,'912796CH',US912796CH03 Govt,USD,GOVT_USD_USA
US912796CJ68,B 0.000 4/24/2014,BOND,GOVT,BILL,USA,0,NA,4/24/14,US912796CJ68,'912796CJ',US912796CJ68 Govt,USD,GOVT_USD_USA
US912796CK32,B 0.000 5/8/2014,BOND,GOVT,BILL,USA,0,NA,5/8/14,US912796CK32,'912796CK',US912796CK32 Govt,USD,GOVT_USD_USA
US912796CL15,B 0.000 11/13/2014,BOND,GOVT,BILL,USA,0,NA,11/13/14,US912796CL15,'912796CL',US912796CL15 Govt,USD,GOVT_USD_USA
US912796CM97,B 0.000 5/15/2014,BOND,GOVT,BILL,USA,0,NA,5/15/14,US912796CM97,'912796CM',US912796CM97 Govt,USD,GOVT_USD_USA
US912796CZ01,B 0.000 5/22/2014,BOND,GOVT,BILL,USA,0,NA,5/22/14,US912796CZ01,'912796CZ',US912796CZ01 Govt,USD,GOVT_USD_USA
US9127955Z04,B 0.000 2/7/2013,BOND,GOVT,BILL,USA,0,NA,2/7/13,US9127955Z04,'9127955Z',US9127955Z04 Govt,USD,GOVT_USD_USA
US9127957D73,B 0.000 1/31/2013,BOND,GOVT,BILL,USA,0,NA,1/31/13,US9127957D73,'9127957D',US9127957D73 Govt,USD,GOVT_USD_USA
US9127957F22,B 0.000 2/14/2013,BOND,GOVT,BILL,USA,0,NA,2/14/13,US9127957F22,'9127957F',US9127957F22 Govt,USD,GOVT_USD_USA
US9127957G05,B 0.000 2/21/2013,BOND,GOVT,BILL,USA,0,NA,2/21/13,US9127957G05,'9127957G',US9127957G05 Govt,USD,GOVT_USD_USA
US038461AC32,AID 4.450 9/15/2015,BOND,AGEN,YIELD,AID,4.45,NA,9/15/15,US038461AC32,'038461AC',US038461AC32 Govt,USD,AGEN_USD_USA
US31331VGU44,FFCB 4.875 12/16/2015,BOND,AGEN,YIELD,FFCB,4.875,NA,12/16/15,US31331VGU44,'31331VGU',US31331VGU44 Govt,USD,AGEN_USD_USA
US31331GTJ84,FFCB 2.625 4/17/2014,BOND,AGEN,YIELD,FFCB,2.625,NA,4/17/14,US31331GTJ84,'31331GTJ',US31331GTJ84 Govt,USD,AGEN_USD_USA
US31331GL808,FFCB 3.000 9/22/2014,BOND,AGEN,YIELD,FFCB,3,NA,9/22/14,US31331GL808,'31331GL8',US31331GL808 Govt,USD,AGEN_USD_USA
US31331G2Y40,FFCB 2.800 11/5/2014,BOND,AGEN,YIELD,FFCB,2.8,NA,11/5/14,US31331G2Y40,'31331G2Y',US31331G2Y40 Govt,USD,AGEN_USD_USA
US31331J2S18,FFCB 1.500 11/16/2015,BOND,AGEN,YIELD,FFCB,1.5,NA,11/16/15,US31331J2S18,'31331J2S',US31331J2S18 Govt,USD,AGEN_USD_USA
US31331KAH32,FFCB 1.125 2/27/2014,BOND,AGEN,YIELD,FFCB,1.125,NA,2/27/14,US31331KAH32,'31331KAH',US31331KAH32 Govt,USD,AGEN_USD_USA
US31331KHW36,FFCB 1.625 11/19/2014,BOND,AGEN,YIELD,FFCB,1.625,NA,11/19/14,US31331KHW36,'31331KHW',US31331KHW36 Govt,USD,AGEN_USD_USA
US3133EADW54,FFCB 0.550 8/17/2015,BOND,AGEN,YIELD,FFCB,0.55,NA,8/17/15,US3133EADW54,'3133EADW',US3133EADW54 Govt,USD,AGEN_USD_USA
US3133EALW62,FFCB 0.300 4/23/2014,BOND,AGEN,YIELD,FFCB,0.3,NA,4/23/14,US3133EALW62,'3133EALW',US3133EALW62 Govt,USD,AGEN_USD_USA
US3133EANJ34,FFCB 0.500 5/1/2015,BOND,AGEN,YIELD,FFCB,0.5,NA,5/1/15,US3133EANJ34,'3133EANJ',US3133EANJ34 Govt,USD,AGEN_USD_USA
US3133EAQP66,FFCB 0.320 5/16/2014,BOND,AGEN,YIELD,FFCB,0.32,NA,5/16/14,US3133EAQP66,'3133EAQP',US3133EAQP66 Govt,USD,AGEN_USD_USA
US3133EARQ31,FFCB 0.500 6/23/2015,BOND,AGEN,YIELD,FFCB,0.5,NA,6/23/15,US3133EARQ31,'3133EARQ',US3133EARQ31 Govt,USD,AGEN_USD_USA
US3133EAYL60,FFCB 0.300 7/18/2014,BOND,AGEN,YIELD,FFCB,0.3,NA,7/18/14,US3133EAYL60,'3133EAYL',US3133EAYL60 Govt,USD,AGEN_USD_USA
US3133EAM701,FFCB 0.300 8/21/2014,BOND,AGEN,YIELD,FFCB,0.3,NA,8/21/14,US3133EAM701,'3133EAM7',US3133EAM701 Govt,USD,AGEN_USD_USA
US3133EA6W34,FFCB 0.270 11/5/2014,BOND,AGEN,YIELD,FFCB,0.27,NA,11/5/14,US3133EA6W34,'3133EA6W',US3133EA6W34 Govt,USD,AGEN_USD_USA
US3133EC2X17,FFCB 0.270 11/19/2014,BOND,AGEN,YIELD,FFCB,0.27,NA,11/19/14,US3133EC2X17,'3133EC2X',US3133EC2X17 Govt,USD,AGEN_USD_USA
US3133EC5G56,FFCB 0.250 11/26/2014,BOND,AGEN,YIELD,FFCB,0.25,NA,11/26/14,US3133EC5G56,'3133EC5G',US3133EC5G56 Govt,USD,AGEN_USD_USA
US3133EC6U32,FFCB 0.280 12/11/2014,BOND,AGEN,YIELD,FFCB,0.28,NA,12/11/14,US3133EC6U32,'3133EC6U',US3133EC6U32 Govt,USD,AGEN_USD_USA
US3133ECAV64,FFCB 0.250 12/24/2014,BOND,AGEN,YIELD,FFCB,0.25,NA,12/24/14,US3133ECAV64,'3133ECAV',US3133ECAV64 Govt,USD,AGEN_USD_USA
US3133ECCM48,FFCB 0.250 11/14/2014,BOND,AGEN,YIELD,FFCB,0.25,NA,11/14/14,US3133ECCM48,'3133ECCM',US3133ECCM48 Govt,USD,AGEN_USD_USA
US3133ECDR26,FFCB 0.270 2/24/2015,BOND,AGEN,YIELD,FFCB,0.27,NA,2/24/15,US3133ECDR26,'3133ECDR',US3133ECDR26 Govt,USD,AGEN_USD_USA
US3133ECDP69,FFCB 0.250 11/28/2014,BOND,AGEN,YIELD,FFCB,0.25,NA,11/28/14,US3133ECDP69,'3133ECDP',US3133ECDP69 Govt,USD,AGEN_USD_USA
US3133X7FK56,FHLB 5.250 6/18/2014,BOND,AGEN,YIELD,FHLB,5.25,NA,6/18/14,US3133X7FK56,'3133X7FK',US3133X7FK56 Govt,USD,AGEN_USD_USA
US3133X9DC15,FHLB 4.500 11/14/2014,BOND,AGEN,YIELD,FHLB,4.5,NA,11/14/14,US3133X9DC15,'3133X9DC',US3133X9DC15 Govt,USD,AGEN_USD_USA
US3133XASA68,FHLB 4.500 2/18/2015,BOND,AGEN,YIELD,FHLB,4.5,NA,2/18/15,US3133XASA68,'3133XASA',US3133XASA68 Govt,USD,AGEN_USD_USA
US3133XBDM45,FHLB 4.750 2/13/2015,BOND,AGEN,YIELD,FHLB,4.75,NA,2/13/15,US3133XBDM45,'3133XBDM',US3133XBDM45 Govt,USD,AGEN_USD_USA
US3133XBMT96,FHLB 4.750 11/14/2014,BOND,AGEN,YIELD,FHLB,4.75,NA,11/14/14,US3133XBMT96,'3133XBMT',US3133XBMT96 Govt,USD,AGEN_USD_USA
US3133XBTS41,FHLB 4.625 6/12/2015,BOND,AGEN,YIELD,FHLB,4.625,NA,6/12/15,US3133XBTS41,'3133XBTS',US3133XBTS41 Govt,USD,AGEN_USD_USA
US3133XCUS05,FHLB 4.750 9/11/2015,BOND,AGEN,YIELD,FHLB,4.75,NA,9/11/15,US3133XCUS05,'3133XCUS',US3133XCUS05 Govt,USD,AGEN_USD_USA
US3133XDTC54,FHLB 5.000 12/11/2015,BOND,AGEN,YIELD,FHLB,5,NA,12/11/15,US3133XDTC54,'3133XDTC',US3133XDTC54 Govt,USD,AGEN_USD_USA
US3133XDTL53,FHLB 5.000 12/21/2015,BOND,AGEN,YIELD,FHLB,5,NA,12/21/15,US3133XDTL53,'3133XDTL',US3133XDTL53 Govt,USD,AGEN_USD_USA
US3133XHKR29,FHLB 5.068 4/17/2014,BOND,AGEN,YIELD,FHLB,5.068,NA,4/17/14,US3133XHKR29,'3133XHKR',US3133XHKR29 Govt,USD,AGEN_USD_USA
US3133XJW388,FHLB 5.000 3/14/2014,BOND,AGEN,YIELD,FHLB,5,NA,3/14/14,US3133XJW388,'3133XJW3',US3133XJW388 Govt,USD,AGEN_USD_USA
US3133XKTV78,FHLB 4.875 6/13/2014,BOND,AGEN,YIELD,FHLB,4.875,NA,6/13/14,US3133XKTV78,'3133XKTV',US3133XKTV78 Govt,USD,AGEN_USD_USA
US3133XLDG58,FHLB 5.375 6/13/2014,BOND,AGEN,YIELD,FHLB,5.375,NA,6/13/14,US3133XLDG58,'3133XLDG',US3133XLDG58 Govt,USD,AGEN_USD_USA
US3133XLJP93,FHLB 5.500 8/13/2014,BOND,AGEN,YIELD,FHLB,5.5,NA,8/13/14,US3133XLJP93,'3133XLJP',US3133XLJP93 Govt,USD,AGEN_USD_USA
US3133XLWM16,FHLB 5.250 9/12/2014,BOND,AGEN,YIELD,FHLB,5.25,NA,9/12/14,US3133XLWM16,'3133XLWM',US3133XLWM16 Govt,USD,AGEN_USD_USA
US3133XN5L98,FHLB 4.750 12/12/2014,BOND,AGEN,YIELD,FHLB,4.75,NA,12/12/14,US3133XN5L98,'3133XN5L',US3133XN5L98 Govt,USD,AGEN_USD_USA
US3133XUMR12,FHLB 3.250 9/12/2014,BOND,AGEN,YIELD,FHLB,3.25,NA,9/12/14,US3133XUMR12,'3133XUMR',US3133XUMR12 Govt,USD,AGEN_USD_USA
US3133XVNU15,FHLB 2.750 12/12/2014,BOND,AGEN,YIELD,FHLB,2.75,NA,12/12/14,US3133XVNU15,'3133XVNU',US3133XVNU15 Govt,USD,AGEN_USD_USA
US3133XWE702,FHLB 2.500 6/13/2014,BOND,AGEN,YIELD,FHLB,2.5,NA,6/13/14,US3133XWE702,'3133XWE7',US3133XWE702 Govt,USD,AGEN_USD_USA
